구로구,법정동,동물병원명,24시간영업,지번주소,도로명주소,위도,경도
강남구,대치동,래이동물의료센터,1,대치동 649,서울 강남구 남부순환로 2911-1,37.49270232,127.0577066
강남구,삼성동,24시청담우리동물병원,1,삼성동 70-6,서울 강남구 삼성로 614,37.51449135,127.0528533
강남구,신사동,스마트 동물병원 신사본원,1,신사동 587-13,서울 강남구 도산대로 213,37.52069647,127.0299892
강남구,역삼동,24시 SNC 동물메디컬센터,1,역삼동 727-8,서울 강남구 논현로 416 운기빌딩 1층,37.4974084,127.038878
강남구,청담동,아이윌24시동물병원,1,청담동 47,서울 강남구 삼성로133길 3,37.51964549,127.0492067
강동구,성내동,24시 더파크동물의료센터,1,성내동 549-1 . 1층(성내동),서울 강동구 성내로 48 . 1층(성내동),37.52844553,127.1253574
강동구,성내동,24시SKY동물의료센터,1,성내동 244-2,서울 강동구 천호대로 1122,37.5343384,127.1359712
강북구,미아동,24시 루시드동물메디컬센터,1,미아동 42-11,서울 강북구 월계로 3 덕신빌딩4층,37.60958992,127.0306828
강서구,등촌동,강서YD동물의료센터,1,등촌동 658-4,서울 강서구 화곡로 371,37.55695579,126.8522421
강서구,마곡동,24시 강서 젠틀리동물의료센터,1,마곡동 747 엠타워 101호,서울 강서구 마곡중앙1로 72 엠타워 101호,37.55904001,126.8200632
강서구,방화동,24시 마곡M동물의료센터,1,"방화동 245-31 성은빌딩 1,2층","서울 강서구 방화대로33길 3 성은빌딩 1,2층",37.56858681,126.8162834
강서구,화곡동,24시 연 동물의료센터,1,"화곡동 1060-30 1층, 2층","서울 강서구 화곡로 191 1층, 2층",37.54293761,126.8422771
관악구,봉천동,24시 굿케어동물의료센터,1,봉천동 1673-21,서울 관악구 남부순환로 1861 1층 103호,37.48000009,126.9568669
구로구,개봉동,24시 명 동물메디컬센터,1,개봉동 90-22 개봉푸르지오 아파트 105동 201호,서울 구로구 남부순환로 775 개봉푸르지오 아파트 105동 201호,37.50156787,126.8471623
구로구,구로동,24시지구촌동물메디컬센터,1,구로동 505-17 유성빌딩,서울 구로구 구로중앙로31길 30 유성빌딩,37.49878906,126.8847856
금천구,독산동,24시 우리동물메디컬센터,1,독산동 950-3,서울 금천구 남부순환로 1386,37.47973845,126.9047381
금천구,독산동,24시 글로리 동물병원,1,독산동 145-13,서울 금천구 시흥대로 483,37.47674386,126.8982562
금천구,시흥동,금천 24시 K동물의료센터,1,시흥동 999-1 산호시티빌 1층 금천 24시 K동물의료센터,서울 금천구 시흥대로 251 산호시티빌 1층 금천 24시 K동물의료센터,37.45609724,126.8995704
노원구,상계동,N동물의료센터 노원점,1,상계동 318-2 N동물의료센터 노원점,서울 노원구 노원로 408 N동물의료센터 노원점,37.65312889,127.0681305
동대문구,장안동,스마트동물병원 동대문점,1,장안동 483 원석빌딩 1층,서울 동대문구 한천로 164 원석빌딩 1층,37.57550594,127.0676599
동작구,사당동,굿파파 24시 반려동물건강검진센터,1,사당동 148-9,서울 동작구 사당로 289 사당의원,37.48484607,126.9796516
서초구,반포동,헬릭스동물메디컬센터,1,반포동 19-1 르본시티 2층,서울 서초구 신반포로 162 강남귀금속타운,37.50488844,127.0022805
성동구,행당동,24시센트럴동물메디컬센터,1,행당동 318-36,서울 성동구 고산자로 207 1층,37.5586754,127.0337365
송파구,거여동,24시스탠다드동물의료센터,1,거여동 605-4 우성어반타워 3층,서울 송파구 위례송파로 77 우성어반타워 3층,37.48544292,127.142453
송파구,삼전동,헬릭스동물메디컬센터 송파점,1,삼전동 28-2,서울 송파구 삼전로 56 헬릭스동물메디컬센터 송파점,37.50377646,127.0878896
송파구,송파동,24시샤인동물메디컬센터,1,송파동 15-6,서울 송파구 송파대로 450,37.50685019,127.106151
송파구,잠실동,잠실ON동물의료센터,1,"잠실동 175-6 J타워 1, 2층","서울 송파구 올림픽로 76 J타워 1, 2층",37.51156036,127.0791814
양천구,신정동,24시 우리들동물메디컬센터,1,신정동 1007-10,서울 양천구 목동로 161,37.52291389,126.8648958
영등포구,양평동1가,24시 수 동물병원,1,양평동1가 28-3,서울 영등포구 영등포로 85-1,37.52231429,126.8911756
은평구,역촌동,24시 예담동물의료센터,1,역촌동 7-15,서울 은평구 연서로 122,37.60958089,126.9167934
은평구,응암동,24시 스마트 동물메디컬센터,1,응암동 91-5,서울 은평구 은평로 93,37.59978536,126.9181268
중랑구,중화2동,로얄동물메디컬센터,1,중화2동 207 로얄스포츠센터 1층,서울 중랑구 망우로 247 로얄스포츠센터 1층,37.59532179,127.0795771
