구,법정동,상세업무구분명,사업장명,위도,경도
동대문구,휘경동,애견미용,#멍멍,37.59005489,127.0599441
강남구,역삼동,펫호텔,(주) 다독인더씨티,37.50458079,127.0311733
강동구,성내동,펫호텔,(주) 한국어질리티연합(카페어질리티),37.52739775,127.1326619
마포구,성산동,펫택시,(주)건영환경물류,37.55762341,126.9061125
서초구,양재동,펫택시,(주)나투스핀 펫 미업,37.46410701,127.0335129
강서구,화곡동,펫호텔,(주)다온케이,37.54714041,126.8328056
마포구,합정동,펫호텔,(주)독핏코리아,37.55205233,126.9092116
도봉구,방학동,펫호텔,(주)마이리틀프렌드 도봉지점,37.66786023,127.0423323
도봉구,방학동,애견미용,(주)비에이치벳홀딩스,37.66909478,127.040311
서초구,서초동,애견미용,(주)스타몽,37.49859094,127.0229597
중구,황학동,애견미용,(주)써니스펫,37.57097822,127.0185437
도봉구,쌍문동,애견미용,(주)애니멀고,37.64425128,127.0268298
강동구,고덕동,펫호텔,(주)에듀펫,37.55895809,127.14925
성동구,성수동,애견미용,(주)이마트 성수점 몰리스,37.53970993,127.050108
광진구,자양동,애견미용,(주)이마트 자양점,37.53780314,127.069742
용산구,이촌동,동물병원,(주)이상윤동물병원,37.51933003,126.9721365
구로구,구로동,펫택시,(주)잇펫,37.482115,126.8924283
서초구,반포동,애견미용,(주)프랑소와펫,37.49624028,126.994247
성동구,성수동,펫택시,(주)하율투어 펫피스 드라이버,37.54468171,127.0540925
노원구,상계동,동물병원,(주)한빛종합동물병원,37.65092277,127.0589906
강남구,역삼동,펫호텔,21그램 케어센터 역삼점,37.4999206,127.0376272
용산구,보광동,동물병원,21세기동물병원,37.52837455,126.9963237
강남구,역삼동,펫택시,24개스트하우스,37.50390119,127.0304875
강남구,역삼동,동물병원,24시 SNC 동물메디컬센터,37.49742508,127.0360312
강서구,마곡동,동물병원,24시 강서 젠틀리동물의료센터,37.55932765,126.8172881
관악구,봉천동,동물병원,24시 굿케어동물의료센터,37.48000396,126.9540324
금천구,독산동,동물병원,24시 글로리 동물병원,37.47674613,126.8953979
중랑구,중화동,동물병원,24시 동물응급의료센터,37.59543561,127.0771298
구로구,개봉동,동물병원,24시 명동물메디컬센터,37.50041022,126.8452418
마포구,아현동,동물병원,24시 산들산들 동물병원,37.55097482,126.9536424
